date,code,open,high,low,close,preclose,volume,amount,pctChg
2015-03-31,sh.000905,7280.1500,7328.8510,7214.4810,7253.1040,7245.4970,16990600192,253293318144.0000,0.104988
2015-04-01,sh.000905,7258.8310,7430.9450,7258.7380,7425.7330,7253.1040,15491880704,237481250816.0000,2.380069
2015-04-02,sh.000905,7463.9070,7561.2010,7447.1190,7560.6480,7425.7330,16765094912,260629000192.0000,1.816858
2015-04-03,sh.000905,7532.1480,7682.7230,7494.3620,7679.0100,7560.6480,17012356096,264305090560.0000,1.565498
2015-04-07,sh.000905,7728.9100,7863.5950,7728.8000,7863.2840,7679.0100,18090483456,286054838272.0000,2.399716
2015-04-08,sh.000905,7908.7700,7920.9830,7674.0660,7807.9970,7863.2840,18949572608,307712106496.0000,-0.703105
2015-04-09,sh.000905,7818.2000,7818.2000,7483.2780,7746.1510,7807.9970,18275474944,291842957312.0000,-0.792088
2015-04-10,sh.000905,7727.0070,7971.6220,7683.8000,7952.1890,7746.1510,16150296576,259672637440.0000,2.659877
2015-04-13,sh.000905,7994.2530,8143.3820,7977.0000,8122.8930,7952.1890,17848498688,297003782144.0000,2.146630
2015-04-14,sh.000905,8129.7280,8192.2380,8039.9510,8119.9590,8122.8930,18319049728,298146029568.0000,-0.036121
2015-04-15,sh.000905,8093.1340,8093.1340,7786.9300,7802.7470,8119.9590,16721102336,266483490816.0000,-3.906570
2015-04-16,sh.000905,7705.4640,7976.1210,7607.4000,7912.0880,7802.7470,14324605952,230085189632.0000,1.401312
2015-04-17,sh.000905,7979.3540,8032.0750,7925.7430,7980.7600,7912.0880,19110982400,299254996992.0000,0.867936
2015-04-20,sh.000905,7967.0330,8051.4700,7801.0290,7839.9010,7980.7600,21459606528,330349023232.0000,-1.764981
2015-04-21,sh.000905,7852.5150,8113.0210,7846.6140,8112.6870,7839.9010,16981040896,272448487424.0000,3.479459
2015-04-22,sh.000905,8180.1160,8333.8210,8179.3020,8323.4270,8112.6870,19915692288,318652485632.0000,2.597656
2015-04-23,sh.000905,8371.8500,8447.9250,8275.1260,8410.7030,8323.4270,19799496192,322874339328.0000,1.048563
2015-04-24,sh.000905,8321.3280,8453.3410,8256.1990,8419.0950,8410.7030,18352767488,304027512832.0000,0.099773
2015-04-27,sh.000905,8503.5690,8576.4820,8413.2330,8513.0160,8419.0950,18568553216,307313975296.0000,1.115570
2015-04-28,sh.000905,8533.6730,8543.3300,8187.1550,8266.4830,8513.0160,18425762560,303637307392.0000,-2.895945
2015-04-29,sh.000905,8248.3140,8449.7010,8204.7300,8428.2540,8266.4830,14507472640,248413782016.0000,1.956945
2015-04-30,sh.000905,8460.3940,8551.4650,8458.6010,8469.6730,8428.2540,14665389056,252898934784.0000,0.491430
2015-05-04,sh.000905,8493.9630,8532.6540,8381.3730,8510.4810,8469.6730,13620460032,235268988928.0000,0.481820
2015-05-05,sh.000905,8501.1190,8501.1190,8160.6560,8199.3440,8510.4810,14422427392,237914882048.0000,-3.655936
2015-05-06,sh.000905,8220.5980,8359.2970,8012.4820,8082.9990,8199.3440,12931393536,219298267136.0000,-1.418952
2015-05-07,sh.000905,8043.0080,8076.2300,7886.3620,7903.4780,8082.9990,11257094144,179222925312.0000,-2.220970
2015-05-08,sh.000905,7989.3380,8201.8040,7983.8260,8201.2930,7903.4780,11888757504,203153653760.0000,3.768151
2015-05-11,sh.000905,8292.6250,8558.8010,8242.0980,8558.2180,8201.2930,14857231104,268455219200.0000,4.352055
2015-05-12,sh.000905,8595.0800,8746.2100,8564.6630,8745.6780,8558.2180,16584906240,301031751680.0000,2.190409
2015-05-13,sh.000905,8719.5840,8909.5750,8643.4300,8824.9290,8745.6780,17498644224,317305028608.0000,0.906173
2015-05-14,sh.000905,8829.8270,8878.4700,8725.2970,8813.3940,8824.9290,14901785344,272167505920.0000,-0.130711
2015-05-15,sh.000905,8790.0060,8828.1140,8626.2290,8742.8850,8813.3940,14371357696,256824532992.0000,-0.800018
2015-05-18,sh.000905,8725.4100,8929.9440,8698.8980,8903.5950,8742.8850,14044539136,255350812672.0000,1.838180
2015-05-19,sh.000905,8927.3870,9125.5150,8904.1880,9124.8320,8903.5950,15175459328,270857990144.0000,2.484809
2015-05-20,sh.000905,9176.0260,9429.2200,9173.4030,9277.3310,9124.8320,19095596800,341437210624.0000,1.671253
2015-05-21,sh.000905,9320.8430,9620.0950,9320.2300,9619.2230,9277.3310,18717799168,339920130048.0000,3.685237
2015-05-22,sh.000905,9756.5290,9821.8110,9547.4220,9778.1710,9619.2230,22250787328,408872005632.0000,1.652402
2015-05-25,sh.000905,9717.5110,10040.7100,9659.3150,10040.0900,9778.1710,22846395392,415725084672.0000,2.678589
2015-05-26,sh.000905,10117.7300,10373.8400,10046.2400,10373.5800,10040.0900,23851427584,454167425024.0000,3.321567
2015-05-27,sh.000905,10421.3000,10539.7500,10192.1800,10497.3400,10373.5800,23261218048,448444547072.0000,1.193104
2015-05-28,sh.000905,10501.3600,10637.9200,9860.5540,9868.4250,10497.3400,25809407488,484525592576.0000,-5.991220
2015-05-29,sh.000905,9846.3900,10140.1000,9433.0880,9966.8450,9868.4250,19877263872,365693603840.0000,0.997321
2015-06-01,sh.000905,10067.5300,10488.8900,10067.5300,10488.3100,9966.8450,18601613568,352129990656.0000,5.232035
2015-06-02,sh.000905,10592.7500,10887.8800,10541.2800,10886.4000,10488.3100,21323422464,413213450240.0000,3.795519
2015-06-03,sh.000905,10973.9600,11055.2100,10674.0700,10979.9900,10886.4000,20905957120,422516264960.0000,0.859677
2015-06-04,sh.000905,10986.4200,11023.3400,10269.0400,10965.4100,10979.9900,21146018816,416105852928.0000,-0.132734
2015-06-05,sh.000905,11117.3600,11236.1500,10887.1700,11144.5200,10965.4100,24887460096,484267028480.0000,1.633394
2015-06-08,sh.000905,11157.1800,11157.1800,10860.3900,11030.9200,11144.5200,23563058176,457818554368.0000,-1.019384
2015-06-09,sh.000905,11009.8800,11089.2000,10861.5800,11013.7400,11030.9200,18518446848,365243117568.0000,-0.155741
2015-06-10,sh.000905,10947.4900,11319.9100,10830.3300,11208.0600,11013.7400,18459036416,375121158144.0000,1.764354
2015-06-11,sh.000905,11220.0700,11367.6300,11155.9500,11366.2900,11208.0600,19036798208,381798543360.0000,1.411800
2015-06-12,sh.000905,11424.3300,11616.3800,11400.6500,11545.8900,11366.2900,21065558784,425433231360.0000,1.580090
2015-06-15,sh.000905,11589.9500,11616.3500,11304.0400,11332.8900,11545.8900,20587737856,425890897920.0000,-1.844804
2015-06-16,sh.000905,11205.7500,11205.7500,10768.6200,10879.8400,11332.8900,17950384128,362990370816.0000,-3.997706
2015-06-17,sh.000905,10865.3900,11133.1100,10497.6900,11100.5500,10879.8400,16003958784,321536143360.0000,2.028615
2015-06-18,sh.000905,11093.3000,11178.3200,10714.3300,10731.3800,11100.5500,15435193856,307393310720.0000,-3.325665
2015-06-19,sh.000905,10475.9200,10601.0400,9968.9920,9987.4070,10731.3800,13784861184,260339527680.0000,-6.932676
2015-06-23,sh.000905,9951.7820,10074.8300,9333.9090,10046.8800,9987.4070,14104583936,255196430336.0000,0.595525
2015-06-24,sh.000905,10136.2500,10271.2300,9950.6180,10267.6300,10046.8800,15820943872,300642770944.0000,2.197121
2015-06-25,sh.000905,10298.5600,10343.0500,9771.8900,9906.1040,10267.6300,16407338240,314829258752.0000,-3.521003
2015-06-26,sh.000905,9571.5550,9603.1270,9059.3570,9078.0640,9906.1040,14507658496,247206313984.0000,-8.358878
2015-06-29,sh.000905,9267.0280,9281.1720,8339.3300,8484.6440,9078.0640,18165277696,291293818880.0000,-6.536866
2015-06-30,sh.000905,8302.1820,8912.3960,7882.3290,8906.0210,8484.6440,19556853504,306723438592.0000,4.966360
2015-07-01,sh.000905,8808.5150,9103.0930,8385.4330,8411.9100,8906.0210,17129742592,287642386432.0000,-5.548059
2015-07-02,sh.000905,8369.4920,8433.5230,7787.0990,7835.1040,8411.9100,15697383424,236427497472.0000,-6.857018
2015-07-03,sh.000905,7530.2660,7930.1460,7249.3090,7355.4910,7835.1040,15610599424,211908120576.0000,-6.121333
2015-07-06,sh.000905,7842.4290,7842.4290,6883.6140,7235.9990,7355.4910,23075438592,295173222400.0000,-1.624530
2015-07-07,sh.000905,6977.5480,7030.9780,6763.1180,6763.5260,7235.9990,11411596032,130756874240.0000,-6.529480
2015-07-08,sh.000905,6444.6670,6702.2790,6444.2480,6602.3740,6763.5260,27534075904,306332688384.0000,-2.382660
2015-07-09,sh.000905,6525.1210,6896.4930,6525.1210,6896.3520,6602.3740,9581574656,113774456832.0000,4.452611
2015-07-10,sh.000905,7101.8170,7245.3280,7081.3540,7244.7840,6896.3520,7214119424,92427698176.0000,5.052413
2015-07-13,sh.000905,7563.3800,7695.6690,7502.5510,7695.6350,7244.7840,12457767936,174731608064.0000,6.223105
2015-07-14,sh.000905,7853.9970,8076.1910,7772.3930,7859.0580,7695.6350,16738370304,249877917696.0000,2.123585
2015-07-15,sh.000905,7836.0830,7837.8440,7391.9590,7405.2940,7859.0580,16426765824,231734124544.0000,-5.773773
2015-07-16,sh.000905,7342.8310,7729.6970,7078.7100,7578.7580,7405.2940,14201307904,200520466432.0000,2.342431
2015-07-17,sh.000905,7629.7820,8050.7280,7620.1620,7994.6970,7578.7580,13937736960,208394145792.0000,5.488221
2015-07-20,sh.000905,8025.1040,8250.3980,7931.6510,8116.4960,7994.6970,16213184000,252542558208.0000,1.523501
2015-07-21,sh.000905,8011.9040,8291.9270,7937.6290,8220.4630,8116.4960,14309759232,222962315264.0000,1.280932
2015-07-22,sh.000905,8207.1730,8354.3850,8075.5950,8320.2360,8220.4630,16116584704,250461708288.0000,1.213720
2015-07-23,sh.000905,8330.4700,8585.8010,8288.8420,8551.9910,8320.2360,17749496576,273744551936.0000,2.785436
2015-07-24,sh.000905,8580.6460,8706.2520,8348.4180,8425.0740,8551.9910,19694787584,319783661568.0000,-1.484064
2015-07-27,sh.000905,8240.6790,8493.3480,7791.6000,7794.1810,8425.0740,17174004224,277807583232.0000,-7.488279
2015-07-28,sh.000905,7514.1480,7893.9380,7261.6070,7649.8200,7794.1810,18029433088,265548849152.0000,-1.852168
2015-07-29,sh.000905,7765.9490,8024.5770,7472.6330,8022.7950,7649.8200,13274524416,207022690304.0000,4.875607
2015-07-30,sh.000905,7979.5690,8174.7010,7766.4610,7800.5800,8022.7950,14192869888,228327428096.0000,-2.769793
2015-07-31,sh.000905,7692.4790,7876.6450,7634.5380,7727.0610,7800.5800,10783413504,169763024896.0000,-0.942482
2015-08-03,sh.000905,7605.8950,7658.1730,7370.0420,7540.2050,7727.0610,11236459008,165121585152.0000,-2.418202
2015-08-04,sh.000905,7548.0290,7942.2680,7532.8290,7942.0950,7540.2050,11718032128,175497236480.0000,5.329963
2015-08-05,sh.000905,7933.3170,8047.6950,7773.9240,7839.3370,7942.0950,11999976704,186153218048.0000,-1.293844
2015-08-06,sh.000905,7660.5830,7891.5640,7633.2890,7792.0280,7839.3370,9005828096,137351467008.0000,-0.603483
2015-08-07,sh.000905,7874.4160,8015.3660,7855.6840,8013.3190,7792.0280,10946966272,170596073472.0000,2.839967
2015-08-10,sh.000905,8106.1200,8437.9150,8079.8770,8394.0860,8013.3190,14531737088,230799532032.0000,4.751678
2015-08-11,sh.000905,8402.3180,8551.5280,8356.5230,8435.3270,8394.0860,16243482624,263074578432.0000,0.491313
2015-08-12,sh.000905,8342.6050,8490.2700,8320.0540,8336.3370,8435.3270,13268064512,217931591680.0000,-1.173520
2015-08-13,sh.000905,8287.7710,8535.3670,8237.8930,8534.4290,8336.3370,13365028352,216706928640.0000,2.376245
2015-08-14,sh.000905,8599.7740,8717.0690,8548.3370,8625.2420,8534.4290,16071307264,262365904896.0000,1.064084
2015-08-17,sh.000905,8613.2860,8820.9830,8582.8290,8820.4570,8625.2420,16201328128,264346701824.0000,2.263297
2015-08-18,sh.000905,8842.1620,8858.3300,8140.9100,8161.2690,8820.4570,18439569920,295325450240.0000,-7.473400
2015-08-19,sh.000905,7865.6340,8404.9410,7667.3190,8340.9820,8161.2690,16262224896,247735545856.0000,2.202027
2015-08-20,sh.000905,8255.9310,8376.6650,8049.5120,8049.5120,8340.9820,13831446784,215501672448.0000,-3.494435
2015-08-21,sh.000905,7884.3050,8006.2930,7583.7040,7612.9020,8049.5120,13456109312,193790001152.0000,-5.424060
2015-08-24,sh.000905,7255.2950,7292.7710,7003.6550,7006.1880,7612.9020,9219222272,123506311168.0000,-7.969548
2015-08-25,sh.000905,6496.1060,6666.8100,6467.8130,6481.4120,7006.1880,10416229120,127802810368.0000,-7.490177
2015-08-26,sh.000905,6470.0010,6687.5270,6165.1070,6238.5250,6481.4120,14919720960,178116575232.0000,-3.747443
2015-08-27,sh.000905,6344.9550,6457.8640,6099.1670,6456.0550,6238.5250,12493233920,148108251136.0000,3.486886
2015-08-28,sh.000905,6554.7550,6844.4510,6512.6970,6842.8940,6456.0550,14275851520,178364903424.0000,5.991877
2015-08-31,sh.000905,6791.4190,6791.4190,6578.3540,6581.3130,6842.8940,11625855232,148296839168.0000,-3.822667
2015-09-01,sh.000905,6507.8750,6507.8750,6161.0320,6169.2070,6581.3130,9866792960,112818462720.0000,-6.261759
2015-09-02,sh.000905,5878.2070,6314.2910,5866.6650,6122.5530,6169.2070,11503272192,130640199680.0000,-0.756237
2015-09-07,sh.000905,6187.6900,6379.1970,6094.4890,6143.5570,6122.5530,10244707072,123125436416.0000,0.343058
2015-09-08,sh.000905,6096.0140,6387.3610,6014.5680,6374.8550,6143.5570,8550983680,99580932096.0000,3.764885
2015-09-09,sh.000905,6408.6710,6609.9430,6380.2500,6551.0070,6374.8550,15009782528,185118482432.0000,2.763229
2015-09-10,sh.000905,6434.5310,6565.1630,6407.1190,6440.3090,6551.0070,10641517824,129231794176.0000,-1.689782
2015-09-11,sh.000905,6423.5210,6523.1900,6385.3100,6493.3190,6440.3090,9257202688,113349226496.0000,0.823094
2015-09-14,sh.000905,6535.2630,6554.3840,6018.4440,6049.7910,6493.3190,11911366400,138102009856.0000,-6.830526
2015-09-15,sh.000905,5886.2680,5996.2170,5689.9710,5708.0300,6049.7910,9342742528,97459798016.0000,-5.649100
2015-09-16,sh.000905,5722.5310,6107.3710,5704.1220,6084.8370,5708.0300,10495292160,113350094848.0000,6.601400
2015-09-17,sh.000905,6057.8680,6242.2480,5965.4090,5965.4090,6084.8370,12783572992,145294761984.0000,-1.962700
2015-09-18,sh.000905,6007.4580,6073.5500,5934.0960,6036.8810,5965.4090,8365211136,94611595264.0000,1.198100
