,510300.XSHG,510500.XSHG
2015-12-22,1.5006,2.27
2015-12-23,1.4968,2.2459
2015-12-24,1.4831,2.24
2015-12-25,1.4864,2.2514
2015-12-28,1.4452,2.1971
2015-12-29,1.4578,2.2178
2015-12-30,1.4592,2.2369
2015-12-31,1.4464,2.2013
2016-01-04,1.3484,2.0185
2016-01-05,1.3521,1.9906
2016-01-06,1.3748,2.0415
2016-01-07,1.2829,1.8681
2016-01-08,1.308,1.8986
2016-01-11,1.2446,1.7709
2016-01-12,1.2531,1.7732
2016-01-13,1.2307,1.7118
2016-01-14,1.2553,1.7697
2016-01-15,1.2168,1.7029
2016-01-18,1.2213,1.7278
2016-01-19,1.2559,1.7908
2016-01-20,1.2377,1.7737
2016-01-21,1.2031,1.7031
2016-01-22,1.215,1.731
2016-01-25,1.2207,1.7492
2016-01-26,1.1507,1.62
2016-01-27,1.1469,1.5984
2016-01-28,1.1185,1.5298
2016-01-29,1.1528,1.5869
2016-02-01,1.1361,1.5665
2016-02-02,1.1585,1.621
2016-02-03,1.1538,1.6278
2016-02-04,1.1672,1.6603
2016-02-05,1.1594,1.6437
2016-02-15,1.1529,1.6447
2016-02-16,1.1864,1.7126
2016-02-17,1.1961,1.7325
2016-02-18,1.1925,1.7284
2016-02-19,1.1917,1.7349
2016-02-22,1.2168,1.7709
2016-02-23,1.2058,1.7612
2016-02-24,1.2133,1.7729
2016-02-25,1.1424,1.6322
2016-02-26,1.1536,1.6389
2016-02-29,1.1273,1.5525
2016-03-01,1.147,1.5884
2016-03-02,1.1918,1.6697
2016-03-03,1.1944,1.6767
2016-03-04,1.2075,1.6315
2016-03-07,1.2115,1.6695
2016-03-08,1.2126,1.6729
2016-03-09,1.1993,1.6301
2016-03-10,1.1775,1.6041
2016-03-11,1.1794,1.6018
2016-03-14,1.1969,1.6556
2016-03-15,1.2003,1.6418
2016-03-16,1.2059,1.6197
2016-03-17,1.2186,1.6731
2016-03-18,1.2363,1.7323
2016-03-21,1.265,1.7758
2016-03-22,1.2562,1.7688
2016-03-23,1.2601,1.7814
2016-03-24,1.24,1.7523
2016-03-25,1.2459,1.7691
2016-03-28,1.2354,1.7577
2016-03-29,1.2226,1.7239
2016-03-30,1.2526,1.7867
2016-03-31,1.2532,1.7922
2016-04-01,1.2546,1.783
2016-04-05,1.2704,1.8304
2016-04-06,1.2678,1.841
2016-04-07,1.2499,1.8139
2016-04-08,1.241,1.7961
2016-04-11,1.2574,1.8359
2016-04-12,1.2531,1.8209
2016-04-13,1.269,1.8481
2016-04-14,1.2744,1.8646
2016-04-15,1.2729,1.8591
2016-04-18,1.2567,1.8289
2016-04-19,1.2603,1.8361
2016-04-20,1.239,1.7525
2016-04-21,1.2315,1.7385
2016-04-22,1.2369,1.7496
2016-04-25,1.232,1.7404
2016-04-26,1.2384,1.7602
2016-04-27,1.2336,1.7519
2016-04-28,1.2318,1.7441
2016-04-29,1.2306,1.7432
2016-05-03,1.2516,1.796
2016-05-04,1.2501,1.7972
2016-05-05,1.2518,1.8071
2016-05-06,1.2216,1.7378
2016-05-09,1.1976,1.6739
2016-05-10,1.1989,1.6726
2016-05-11,1.204,1.6685
2016-05-12,1.2066,1.6692
2016-05-13,1.201,1.6657
2016-05-16,1.2085,1.6944
2016-05-17,1.2054,1.6891
2016-05-18,1.1989,1.6423
2016-05-19,1.197,1.6532
2016-05-20,1.2028,1.6728
2016-05-23,1.2064,1.6953
2016-05-24,1.1976,1.6762
2016-05-25,1.1961,1.6683
2016-05-26,1.1981,1.6766
2016-05-27,1.1975,1.6761
2016-05-30,1.1991,1.6684
2016-05-31,1.2374,1.7379
2016-06-01,1.234,1.7458
2016-06-02,1.2365,1.7572
2016-06-03,1.245,1.7639
2016-06-06,1.2422,1.7688
2016-06-07,1.2417,1.7674
2016-06-08,1.2378,1.7628
2016-06-13,1.2018,1.6831
2016-06-14,1.2055,1.6863
2016-06-15,1.2206,1.7425
2016-06-16,1.2135,1.736
2016-06-17,1.22,1.7461
2016-06-20,1.2209,1.7528
2016-06-21,1.2185,1.733
2016-06-22,1.2288,1.7597
2016-06-23,1.2237,1.7512
2016-06-24,1.2105,1.7292
2016-06-27,1.2265,1.7707
2016-06-28,1.2327,1.7895
2016-06-29,1.2383,1.7937
2016-06-30,1.2396,1.7949
2016-07-01,1.2403,1.7917
2016-07-04,1.2592,1.8272
2016-07-05,1.261,1.8381
2016-07-06,1.2649,1.8462
2016-07-07,1.2647,1.8533
2016-07-08,1.2601,1.8484
2016-07-11,1.2646,1.8521
2016-07-12,1.2905,1.8759
2016-07-13,1.2964,1.8911
2016-07-14,1.2942,1.8939
2016-07-15,1.2948,1.8901
2016-07-18,1.2895,1.8808
2016-07-19,1.2849,1.8855
2016-07-20,1.281,1.8815
2016-07-21,1.2866,1.8888
2016-07-22,1.2765,1.874
2016-07-25,1.2789,1.879
2016-07-26,1.2934,1.904
2016-07-27,1.2746,1.8259
2016-07-28,1.2757,1.8295
2016-07-29,1.2701,1.8177
2016-08-01,1.2599,1.79
2016-08-02,1.2644,1.8073
2016-08-03,1.2661,1.816
2016-08-04,1.2688,1.8277
2016-08-05,1.2707,1.818
2016-08-08,1.2814,1.8441
2016-08-09,1.2898,1.8592
2016-08-10,1.2848,1.8526
2016-08-11,1.2816,1.8259
2016-08-12,1.3044,1.8468
2016-08-15,1.3411,1.8892
2016-08-16,1.3354,1.897
2016-08-17,1.3335,1.9026
2016-08-18,1.3303,1.903
2016-08-19,1.3311,1.906
2016-08-22,1.3205,1.8829
2016-08-23,1.3225,1.8848
2016-08-24,1.3184,1.8869
2016-08-25,1.3106,1.8714
2016-08-26,1.3099,1.8797
2016-08-29,1.3101,1.8846
2016-08-30,1.3117,1.8843
2016-08-31,1.3175,1.8868
2016-09-01,1.3078,1.8717
2016-09-02,1.3128,1.8644
2016-09-05,1.3156,1.8746
2016-09-06,1.3244,1.9046
2016-09-07,1.3236,1.905
2016-09-08,1.323,1.9118
2016-09-09,1.315,1.8988
2016-09-12,1.2943,1.8461
2016-09-13,1.2934,1.8542
2016-09-14,1.2853,1.8423
2016-09-19,1.2945,1.8614
2016-09-20,1.2923,1.8607
2016-09-21,1.2959,1.8616
2016-09-22,1.305,1.874
2016-09-23,1.299,1.8698
2016-09-26,1.2787,1.8327
2016-09-27,1.2865,1.8453
2016-09-28,1.2828,1.8441
2016-09-29,1.2879,1.8498
2016-09-30,1.2913,1.8582
2016-10-10,1.3063,1.8929
2016-10-11,1.3109,1.9039
2016-10-12,1.3086,1.9028
2016-10-13,1.3095,1.9036
2016-10-14,1.3106,1.8992
2016-10-17,1.3,1.8827
2016-10-18,1.3162,1.9108
2016-10-19,1.3143,1.9067
2016-10-20,1.3152,1.9077
2016-10-21,1.3187,1.9009
2016-10-24,1.3336,1.92
2016-10-25,1.3336,1.9268
2016-10-26,1.3287,1.9171
2016-10-27,1.3253,1.9133
2016-10-28,1.3232,1.8955
2016-10-31,1.3217,1.8943
2016-11-01,1.3302,1.9106
2016-11-02,1.3206,1.8952
2016-11-03,1.3324,1.9036
2016-11-04,1.3283,1.8974
2016-11-07,1.3291,1.899
2016-11-08,1.3346,1.9091
2016-11-09,1.3279,1.8946
2016-11-10,1.3419,1.9191
2016-11-11,1.3518,1.9331
2016-11-14,1.3566,1.942
2016-11-15,1.3564,1.9495
2016-11-16,1.3563,1.9509
2016-11-17,1.3589,1.9488
2016-11-18,1.3517,1.9388
2016-11-21,1.3605,1.9413
2016-11-22,1.3708,1.9557
2016-11-23,1.3735,1.9468
2016-11-24,1.3788,1.9441
2016-11-25,1.391,1.9525
2016-11-28,1.3963,1.9578
2016-11-29,1.4071,1.943
2016-11-30,1.3973,1.9326
2016-12-01,1.4076,1.944
2016-12-02,1.3938,1.9139
2016-12-05,1.3712,1.9041
2016-12-06,1.3674,1.9056
