open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3.74,3.79,3.74,3.71,5307450.0,0.03,0.81,3.748,3.74,3.614,5436091.0,5536550.85,5856872.41
3.66,3.72,3.71,3.65,4523059.5,0.05,1.37,3.762,3.735,3.593,5260808.0,5787809.45,5777940.43
3.71,3.76,3.66,3.65,5360776.5,-0.13,-3.43,3.776,3.742,3.572,5676857.2,6486823.3,5745414.31
3.83,3.84,3.79,3.76,6184210.0,-0.05,-1.3,3.792,3.729,3.552,5910177.0,6542867.35,5653007.93
3.81,3.85,3.84,3.77,5804959.0,0.03,0.79,3.766,3.693,3.523,5599130.8,6559739.25,5510944.83
3.77,3.81,3.81,3.76,4431035.0,0.03,0.79,3.732,3.653,3.489,5637010.7,6590857.85,5327160.29
3.77,3.88,3.78,3.75,6603305.5,0.04,1.07,3.708,3.615,3.458,6314810.9,6825984.9,5285003.54
3.69,3.75,3.74,3.66,6527375.5,0.08,2.19,3.708,3.581,3.428,7296789.4,6636760.7,5103186.01
3.67,3.69,3.66,3.64,4628979.0,-0.01,-0.27,3.666,3.541,3.4,7175557.7,6431970.0,4912960.2
3.69,3.72,3.67,3.63,5994358.5,-0.02,-0.54,3.62,3.515,3.375,7520347.7,6348828.18,4808699.74
3.74,3.76,3.69,3.67,7820036.0,-0.09,-2.38,3.574,3.487,3.349,7544705.0,6177193.98,4621738.13
3.58,3.78,3.78,3.56,11513198.0,0.25,7.08,3.522,3.45,3.321,7337158.9,5768071.4,4357891.68
3.43,3.53,3.53,3.41,5921217.0,0.1,2.92,3.454,3.402,3.291,5976732.0,5004005.33,3924824.23
3.44,3.49,3.43,3.42,6352929.0,-0.01,-0.29,3.416,3.375,3.273,5688382.3,4763148.5,3823256.34
3.44,3.45,3.44,3.42,6116145.0,0.01,0.29,3.41,3.352,3.257,5177308.65,4462150.4,3624698.24
3.45,3.47,3.43,3.41,6782305.5,-0.01,-0.29,3.4,3.325,3.242,4809682.95,4063462.73,3412755.04
3.36,3.44,3.44,3.36,4711063.5,0.1,2.99,3.378,3.301,3.23,4198983.9,3744022.18,3249554.83
